violent_pos_idx,violent_video,violent_label,violent_text,closest_nonviolent_pos_idx,closest_nonviolent_video,closest_nonviolent_text,similarity
373,Robbery039_x264,Robbery,A masked man entered and took a white item from the counter The masked man took what the teller handed over The masked man opened the door and left...,503,Stealing026_x264,"A person with his face completely covered took something from his jacket pocket while approaching a white car, and then pried open the back door of the white car The masked man broke the rear window of the white car with his elbow, then reached in an...",0.5804640650749207
27,Abuse028_x264,Abuse,A gray-coated postman walked to the mailbox at the door and put the letter into the mailbox. The black dog lying on the ground rushed over. The postman took out a stick and beat it. The black dog barked at the man. The man Take out the stick from you...,494,Stealing017_x264,"A bald man in green clothes hugged a woman in purple clothes, and then the bald man kissed the woman in purple clothes The two people walked to the front of the black Audi car. The woman in purple pointed in the direction of the camera. A white car s...",0.5748571753501892
116,Assault022_x264,Assault,"In the circular parking lot, three men in black chased a man in white and then ran away. The man in white walked back, and a man came back to beat him and then ran away. A man in white got out of the car to help, but all the men in black ran away. Tw...",494,Stealing017_x264,"A bald man in green clothes hugged a woman in purple clothes, and then the bald man kissed the woman in purple clothes The two people walked to the front of the black Audi car. The woman in purple pointed in the direction of the camera. A white car s...",0.5746058225631714
98,Assault003_x264,Assault,"Two men stood at the door  About 5 or 6 people squeezed out from the door of the room, and the two quickly ran upstairs from the stairs. A strong man in a dark shirt blocked a man into the corner of the stairwell and beat him violently. The man cover...",494,Stealing017_x264,"A bald man in green clothes hugged a woman in purple clothes, and then the bald man kissed the woman in purple clothes The two people walked to the front of the black Audi car. The woman in purple pointed in the direction of the camera. A white car s...",0.5716159343719482
75,Arrest040_x264,Arrest,A white car stopped after hitting a street light. Multiple police cars parked behind the white car.  Several police officers got out of the police car and rushed to the white car.  Several policemen ran back to the police car....,255,RoadAccidents027_x264,"A white car collided with a police car, and a piece of the police car was knocked off There are many passing vehicles at the intersection and many pedestrians on the street...",0.5655400156974792
23,Abuse024_x264,Abuse,"A man was pushing a shopping cart in front of the shelves in the supermarket. He walked to the other side to look at it, then returned to the shopping cart, turned around and returned to the previous one. places to look A man dragged a woman out from...",494,Stealing017_x264,"A bald man in green clothes hugged a woman in purple clothes, and then the bald man kissed the woman in purple clothes The two people walked to the front of the black Audi car. The woman in purple pointed in the direction of the camera. A white car s...",0.5603825449943542
43,Arrest008_x264,Arrest,"A man wearing white clothes sitting in the driver's seat of a white car opened the door. A man in black is lying next to a white car. A woman in black opened the passenger door and got out of the car, opened the back door and sat in. The man in white...",494,Stealing017_x264,"A bald man in green clothes hugged a woman in purple clothes, and then the bald man kissed the woman in purple clothes The two people walked to the front of the black Audi car. The woman in purple pointed in the direction of the camera. A white car s...",0.5579198002815247
31,Abuse032_x264,Abuse,"There was a woman in floral clothes squatting beside the bed, lifting the head of a man in a blue top, using special force, and putting a pillow on his face, using special force. Put it on the back of his neck and press his head on the pillow The lon...",720,Normal_Videos026_x264,"In a back kitchen, a man wearing a red shirt and a black vest left the room, and then a man wearing white short sleeves also left the room. A woman wearing white short-sleeves and a red hat walked in. The woman walked to the sink to wash her hands. T...",0.5562930703163147
160,Burglary040_x264,Burglary,A silver-white car made a U-turn from across the road The car drove to the road in front of a house and stopped. A tall white man with short brown hair and a red shirt got out of the car. Walk to the door of the house and stop. The man left the porch...,774,Normal_Videos093_x264,"A man in black clothes and black pants walked from the inside of the house to the door. Beside the aisle are some desks, chairs and a couch A man wearing a dark blue shirt and blue jeans walked quickly down the stairs enclosed by glass inside the roo...",0.5552939772605896
111,Assault016_x264,Assault,"2 staff members were standing and talking in the office area inside the counter. A man forced his way into the office. The security guard tried his best to stop him, but failed. and tried to climb over the counter. A man walked inside and entered fro...",494,Stealing017_x264,"A bald man in green clothes hugged a woman in purple clothes, and then the bald man kissed the woman in purple clothes The two people walked to the front of the black Audi car. The woman in purple pointed in the direction of the camera. A white car s...",0.5529502034187317
441,Shooting024_x264,Shooting,Two peeping men rushed straight into the store Two people left on electric bikes A man wearing a blue helmet and gray clothes riding a blue electric bike drove into the distance and turned right There was a man wearing a pink shirt riding an electric...,997,Normal_Videos348_x264,"A number of vehicles were driving on a road. A man in white walked out of the alley and turned left. A man drove an electric car opposite him and passed by. He stopped by the road. , the man in white leaves the camera's sight  Two men riding electric...",0.5512505769729614
108,Assault013_x264,Assault,"In the restaurant, two women wanted to leave after finishing their meal, but they quickly returned as soon as they reached the door. Two thugs with sticks came in and beat people on sight, knocking the man next to the bar to the ground. Several other...",494,Stealing017_x264,"A bald man in green clothes hugged a woman in purple clothes, and then the bald man kissed the woman in purple clothes The two people walked to the front of the black Audi car. The woman in purple pointed in the direction of the camera. A white car s...",0.548103928565979
10,Abuse011_x264,Abuse,"A man faced a house at the corner of the stairs. He dragged the woman outside the door and pulled her hair. The woman lay on the ground. A man pushed the woman down the stairs on the first floor, and the woman tumbled down the stairs. The man on the ...",494,Stealing017_x264,"A bald man in green clothes hugged a woman in purple clothes, and then the bald man kissed the woman in purple clothes The two people walked to the front of the black Audi car. The woman in purple pointed in the direction of the camera. A white car s...",0.5424476265907288
55,Arrest020_x264,Arrest,"A man in black and a man in white were walking and talking with a policeman, followed by a policeman. Two policemen stopped at the intersection, and the black and white man walked forward across the road. Two police cars began to reverse, and the man...",556,Vandalism011_x264,"Three people were walking on the street. One of them was walking while looking at his mobile phone, and the other was running across the street. A man in black pants pushed three trash cans placed consecutively on the roadside to the ground. Man in b...",0.5418833494186401
187,Explosion003_x264,Explosion,Many cars are driving on the road. An explosion occurred in the white car. The vehicle behind the white car stopped. Two people got out of the white car....,700,Normal_Videos_913_x264,A white car drove past the highway Many white cars drove past in the distance...,0.54139244556427
19,Abuse020_x264,Abuse,"A man in a white shirt hit a woman sitting on the bed with his clothes. The woman covered her chest with her right hand, and the man immediately opened the door and went out. The man opened the door and came in, with the clothes still hanging on his ...",720,Normal_Videos026_x264,"In a back kitchen, a man wearing a red shirt and a black vest left the room, and then a man wearing white short sleeves also left the room. A woman wearing white short-sleeves and a red hat walked in. The woman walked to the sink to wash her hands. T...",0.5407215356826782
50,Arrest015_x264,Arrest,"Many vehicles are driving on the road. A police car chased a white truck. The white truck hit a police car. A policeman got out of a hit police car, and another policeman tried to enter the van through the car window. The white truck fled, and two po...",255,RoadAccidents027_x264,"A white car collided with a police car, and a piece of the police car was knocked off There are many passing vehicles at the intersection and many pedestrians on the street...",0.5375198125839233
96,Assault001_x264,Assault,"Three men were fighting. Two men knocked the other man over the flower bed and punched and kicked him repeatedly. A man who was beating someone stopped attacking, and the remaining man continued to punch and kick the man. A man in a white T-shirt cam...",494,Stealing017_x264,"A bald man in green clothes hugged a woman in purple clothes, and then the bald man kissed the woman in purple clothes The two people walked to the front of the black Audi car. The woman in purple pointed in the direction of the camera. A white car s...",0.537106454372406
101,Assault006_x264,Assault,"A black boy wearing a backpack and a white coat sneaked into the room. Climb onto a low wooden bed with a TV, and go to the counter to steal the items inside.  Someone appeared and the thief tried to leave the room quickly, but was twisted.  Six or s...",494,Stealing017_x264,"A bald man in green clothes hugged a woman in purple clothes, and then the bald man kissed the woman in purple clothes The two people walked to the front of the black Audi car. The woman in purple pointed in the direction of the camera. A white car s...",0.5356811881065369
119,Assault025_x264,Assault,"A group of people stood on one side of the road, forming a circle. A man wearing a white short-sleeved shirt attacked another man standing by the wall and ran away quickly. Another man in dark clothes continued to beat the injured man in front. The m...",494,Stealing017_x264,"A bald man in green clothes hugged a woman in purple clothes, and then the bald man kissed the woman in purple clothes The two people walked to the front of the black Audi car. The woman in purple pointed in the direction of the camera. A white car s...",0.5330960154533386
52,Arrest017_x264,Arrest,Two police cars crossed the lawn and came to another driveway. Many police cars chased a green car on the highway. The green car turned sharply and crossed the green grass between the two roads. The green car hit a car and a truck successively and st...,556,Vandalism011_x264,"Three people were walking on the street. One of them was walking while looking at his mobile phone, and the other was running across the street. A man in black pants pushed three trash cans placed consecutively on the roadside to the ground. Man in b...",0.5303483009338379
372,Robbery038_x264,Robbery,"A motorcycle carrying a man in yellow and a man in black drove over and then stopped.  Two people got out of the car with knives and controlled the man in blue and the man in white on the roadside respectively. The man in blue resisted, and another m...",483,Stealing006_x264,There are many cars and motorcycles traveling in opposite directions on the road A motorcycle carrying two people stopped behind a white car. The person on the back seat of the motorcycle got off the motorcycle and stood aside. The man in brown cloth...,0.5297052264213562
365,Robbery031_x264,Robbery,A motorcycle passed by Two women walked to the door and a motorcycle stopped. A man took away two women’s backpacks with a knife The man got in the car and left the two women entering the door...,1023,Normal_Videos377_x264,"A deserted street, with walls and railings on one side, the door of a house on the other side, and a motorcycle parked next to the door A woman wearing a green floral top rode a motorcycle to the door of the house and stopped. There were multiple pla...",0.5279529690742493
17,Abuse018_x264,Abuse," Vehicles were coming and going on the street. A man wearing a black and red shirt and black pants walked to the front of the brown door. There was a brown trash can in the corner in front of the door, and there was a brown trash can next to it. The ...",556,Vandalism011_x264,"Three people were walking on the street. One of them was walking while looking at his mobile phone, and the other was running across the street. A man in black pants pushed three trash cans placed consecutively on the roadside to the ground. Man in b...",0.5277082920074463
360,Robbery026_x264,Robbery," In the picture, a woman in black and a man in a red short-sleeved shirt are talking to two men at the counter. The woman in black and the man in red shirt took something and turned around to leave. The man sitting on the chair at the door said somet...",628,Normal_Videos_597_x264,A man moved from the left side of the counter to the right side and then paced back and forth The man in blue clothes approached the man from the left side of the counter Two people are talking The man in red clothes walked from the house to the fron...,0.5274434685707092
14,Abuse015_x264,Abuse,There are three men wearing black clothes and gray jeans. In front of them there is a man wearing black clothes and black trousers sitting against the wall. Next to him is a man wearing black clothes with upper body and lower body. A man in gray trou...,556,Vandalism011_x264,"Three people were walking on the street. One of them was walking while looking at his mobile phone, and the other was running across the street. A man in black pants pushed three trash cans placed consecutively on the roadside to the ground. Man in b...",0.5273154377937317
51,Arrest016_x264,Arrest,A policeman got out of the police car and walked to a man in white. Police talking to the man in white. The man in white walked away while communicating with the police. The policeman took out his pistol. The man in white ran with a flag and threw it...,556,Vandalism011_x264,"Three people were walking on the street. One of them was walking while looking at his mobile phone, and the other was running across the street. A man in black pants pushed three trash cans placed consecutively on the roadside to the ground. Man in b...",0.5270041227340698
449,Shooting032_x264,Shooting,The end of the street is a T-intersection with many vehicles passing through A girl in pink clothes walked into the house on the side of the street A woman wearing a white top and black shorts came from the intersection A woman wearing a white top an...,796,Normal_Videos116_x264,"There are white cars and red cars parked on the side of the road. A white car, a silver car, and a motorcycle passed by one after another. A woman wearing a white top, black pants and a green bag is walking on the road A red car passed by the woman. ...",0.5269314050674438
206,Fighting016_x264,Fighting,A man in black and wearing a hat is threatening with a hammer in the store A man in black and wearing a hat is holding the door A man in black and a hat holding an ax was thrown to the ground by the man in black who rushed out from below and crushed ...,494,Stealing017_x264,"A bald man in green clothes hugged a woman in purple clothes, and then the bald man kissed the woman in purple clothes The two people walked to the front of the black Audi car. The woman in purple pointed in the direction of the camera. A white car s...",0.5258540511131287
163,Burglary043_x264,Burglary,"An African-American man wearing a white hooded jacket and gray trousers looked in at the door of the house. African man looked around at the door of the house, The man forced the door open The man entered the house...",613,Normal_Videos_251_x264,A black man and an Asian man entered the house one after another An old man in white clothes passed by the door...,0.522930920124054
217,Fighting027_x264,Fighting,Two men in white and a man in black had a dispute and walked out of the screen  Several motorcycles drove past and several people stood on the street Three men came out from the upper right corner and gathered to talk. A few people stood scattered on...,494,Stealing017_x264,"A bald man in green clothes hugged a woman in purple clothes, and then the bald man kissed the woman in purple clothes The two people walked to the front of the black Audi car. The woman in purple pointed in the direction of the camera. A white car s...",0.5219961404800415
68,Arrest033_x264,Arrest,"A group of policemen dragged a man in red out of the gate. A man in red fell to the ground after entering the door. A group of policemen dragged the man into the room.  Six policemen pressed on the man in red, searching for something. The police left...",556,Vandalism011_x264,"Three people were walking on the street. One of them was walking while looking at his mobile phone, and the other was running across the street. A man in black pants pushed three trash cans placed consecutively on the roadside to the ground. Man in b...",0.5214741230010986
384,Robbery050_x264,Robbery,"A white car came and stopped on the road A man in a striped shirt ran out from behind the white car, grabbed something from the car and then went around to the other side. A man in red ran out from behind the white car and threatened the man in the c...",494,Stealing017_x264,"A bald man in green clothes hugged a woman in purple clothes, and then the bald man kissed the woman in purple clothes The two people walked to the front of the black Audi car. The woman in purple pointed in the direction of the camera. A white car s...",0.5212034583091736
410,Robbery076_x264,Robbery,"A woman in blue is walking on the street. A motorcycle drove up opposite the woman and brought a man with him, who walked up to her. The man on the motorcycle took off the jewelry on the woman’s face from behind The woman stood in place...",484,Stealing007_x264,"There are many vehicles passing by on the road, and four people are walking upwards A motorcycle carrying two people stopped in the middle of the road The man in blue got off the motorcycle, and the man in yellow moved to the driving seat A man weari...",0.5212029218673706
0,Abuse001_x264,Abuse,"A woman with short hair, slightly fat, wearing a white top and black pants stood in front of the table, picked up a book from the table, and opened it to read A man wearing a white shirt and black pants entered the house and walked towards the short-...",720,Normal_Videos026_x264,"In a back kitchen, a man wearing a red shirt and a black vest left the room, and then a man wearing white short sleeves also left the room. A woman wearing white short-sleeves and a red hat walked in. The woman walked to the sink to wash her hands. T...",0.5208131074905396
201,Fighting011_x264,Fighting,Three men lying on the ground and three men sitting on chairs The man in black on the right sat up and adjusted his clothes The man in black lay down and above him a man in white striped clothes came and talked. The man in white striped clothes stand...,494,Stealing017_x264,"A bald man in green clothes hugged a woman in purple clothes, and then the bald man kissed the woman in purple clothes The two people walked to the front of the black Audi car. The woman in purple pointed in the direction of the camera. A white car s...",0.5207958221435547
56,Arrest021_x264,Arrest,A man walked into the room. A woman in red is sitting at the table writing something. On her left is a woman in blue holding something in her hand and a child. On her right are two policemen recording something. Opposite is a blue The woman in clothe...,556,Vandalism011_x264,"Three people were walking on the street. One of them was walking while looking at his mobile phone, and the other was running across the street. A man in black pants pushed three trash cans placed consecutively on the roadside to the ground. Man in b...",0.5206288695335388
77,Arrest042_x264,Arrest,A woman is walking on the road. A shirtless man came out of the door and walked forward with an object in his hand. The woman stopped and looked at the man. Three policemen came out of the door and followed the man with guns in their hands. The man w...,556,Vandalism011_x264,"Three people were walking on the street. One of them was walking while looking at his mobile phone, and the other was running across the street. A man in black pants pushed three trash cans placed consecutively on the roadside to the ground. Man in b...",0.5205370783805847
72,Arrest037_x264,Arrest,A black car and a motorcycle passed by on the road. A motorcycle with two men on it turned to the door of the police station. The person on the back seat of the motorcycle got off the car and ran outside. Two policemen and two other men came out of t...,237,RoadAccidents009_x264,A black car hit a group of bicycles A police car turned to the other side of the road and stopped  Six people in black clothes are riding bicycles A man in black is riding a bicycle chasing a gray car that hits someone Two men in black walked to the ...,0.5192992091178894
198,Fighting008_x264,Fighting,Three people came here on motorcycles and walked out of the left side of the screen  Several people on motorcycles parked on the road one after another People came from the right side and gathered around to the left side of the screen A man in blue r...,487,Stealing010_x264,"Many vehicles are driving on the road and many people are walking around A man in white walked to a white car and then walked away A motorcycle stopped behind the car, and a man in a floral shirt passed by the white car A man in white walked past the...",0.5180656909942627
353,Robbery019_x264,Robbery,There are three men sitting at the counter communicating. Suddenly a masked man with a gun broke in and stepped on the counter. The man beat and restrained a man at the counter. A man with a gun and a scarf entered the house and held three people hos...,494,Stealing017_x264,"A bald man in green clothes hugged a woman in purple clothes, and then the bald man kissed the woman in purple clothes The two people walked to the front of the black Audi car. The woman in purple pointed in the direction of the camera. A white car s...",0.5175486207008362
59,Arrest024_x264,Arrest,A large number of vehicles are driving on the road. A black car is chasing a white car. The white car stopped. A man in white opened the passenger door and came out and crawled forward for a distance before stopping. The black car parked behind the w...,556,Vandalism011_x264,"Three people were walking on the street. One of them was walking while looking at his mobile phone, and the other was running across the street. A man in black pants pushed three trash cans placed consecutively on the roadside to the ground. Man in b...",0.5147383213043213
57,Arrest022_x264,Arrest,A woman is walking on the road. A shirtless man came out of the door and walked forward with an object in his hand. The woman stopped and looked at the man. Three policemen came out of the door and followed the man with guns in their hands. The man w...,556,Vandalism011_x264,"Three people were walking on the street. One of them was walking while looking at his mobile phone, and the other was running across the street. A man in black pants pushed three trash cans placed consecutively on the roadside to the ground. Man in b...",0.5143929719924927
174,Burglary054_x264,Burglary,A man in white walked to the bedside cabinet in the small bedroom The man in white was rummaging around in the bedside cabinet in the small bedroom for items. The man quickly left. What video is playing on TV?...,837,Normal_Videos165_x264,"In a corridor, a man in white walks out from the depth of the video to the right side of the video....",0.513789176940918
22,Abuse023_x264,Abuse,"The woman in a blue top is watching the situation outside at the door. A woman with yellow hair pushed the door in. The woman was hit hard against the wall by the door, and the woman with yellow hair quickly pushed her to the corner. The woman in the...",494,Stealing017_x264,"A bald man in green clothes hugged a woman in purple clothes, and then the bald man kissed the woman in purple clothes The two people walked to the front of the black Audi car. The woman in purple pointed in the direction of the camera. A white car s...",0.5125461220741272
213,Fighting023_x264,Fighting,"A man in black wearing a white hat and holding a shopping bag tried to open the door and leave The security guard in white rushed over and pressed the man in black against the wall The security guard in white grabbed the man in black by the collar, a...",466,Shoplifting019_x264,"A man wearing two hats suddenly took away a box of things on the counter and ran out; a man with a white beard at the counter immediately went to grab it, but didn't get it. The man wearing two hats ran out; taking advantage of the chaos, the man wea...",0.5121419429779053
374,Robbery040_x264,Robbery,A man in blue and white hat entered and stood at the counter The man in blue and white hat reached into the counter and took away the things and left the door...,1139,Normal_Videos508_x264,"In front of a shop, a man in a blue hat appears on the lower side of the screen and walks towards the counter on the right to pack things. The man in the blue hat handed the thing to the woman standing at the counter on the left. The man in the blue ...",0.5119186639785767
54,Arrest019_x264,Arrest,"Many vehicles are driving on the road. Two policemen drove a motorcycle and parked next to a green taxi. A policeman ran to the green taxi from the left and wanted to open the door. The green taxi reversed and turned left to escape, with the police c...",237,RoadAccidents009_x264,A black car hit a group of bicycles A police car turned to the other side of the road and stopped  Six people in black clothes are riding bicycles A man in black is riding a bicycle chasing a gray car that hits someone Two men in black walked to the ...,0.5109490156173706
424,Shooting006_x264,Shooting,"The man in the white T-shirt walks to the counter The female clerk took out a long package and put it on the counter The man picked up the package, checked it and put it back on the counter The man in white T-shirt looked at the counter without buyin...",589,Normal_Videos_042_x264,Two cashiers in white shirts are communicating with customers There are two cashiers talking to each other nearby. The female cashier wearing a hat nearby is talking to the fat lady opposite The cashier brought something to a customer in a white T-sh...,0.5096622705459595
62,Arrest027_x264,Arrest,"Many cars are driving on the highway. A black car drove quickly on the isolation belt, followed by a police car. The black car knocked down several roadblocks on the unrepaired side road. The black car rushed onto the side road and sped away....",701,Normal_Videos_914_x264,A white car drove past on the highway Many white cars drove past in the distance...,0.5093685388565063
214,Fighting024_x264,Fighting,"The man in the orange shirt grabbed the man in the white shirt, and the man in the white shirt broke free The man in the orange shirt raised the chair and pushed it towards the man in the white shirt The man in the white shirt took out a knife and sw...",494,Stealing017_x264,"A bald man in green clothes hugged a woman in purple clothes, and then the bald man kissed the woman in purple clothes The two people walked to the front of the black Audi car. The woman in purple pointed in the direction of the camera. A white car s...",0.5069624185562134
5,Abuse006_x264,Abuse,"A police car drove into a grassy field A man wearing a black cotton top and black pants also entered the grassland beside the police car. The police car stopped, and two police officers got out of the driver's seat and the passenger's seat respective...",556,Vandalism011_x264,"Three people were walking on the street. One of them was walking while looking at his mobile phone, and the other was running across the street. A man in black pants pushed three trash cans placed consecutively on the roadside to the ground. Man in b...",0.5061594247817993
58,Arrest023_x264,Arrest,"Two men in black and a man in red chased a man in white. The man in white was pulled down by the man in red, and then he was pushed to the ground, beaten and subdued by the man in red and the two men in black who came over. A man in blue came out of ...",494,Stealing017_x264,"A bald man in green clothes hugged a woman in purple clothes, and then the bald man kissed the woman in purple clothes The two people walked to the front of the black Audi car. The woman in purple pointed in the direction of the camera. A white car s...",0.5031876564025879
112,Assault017_x264,Assault,"A man came to a black car, opened the small door on the fence and looked out. A man walked from the road and tried to enter the small door. The man inside the door blocked him. Another man ran over. The two broke into the small door together and push...",494,Stealing017_x264,"A bald man in green clothes hugged a woman in purple clothes, and then the bald man kissed the woman in purple clothes The two people walked to the front of the black Audi car. The woman in purple pointed in the direction of the camera. A white car s...",0.5027955770492554
395,Robbery061_x264,Robbery,"A man in blue is standing in the store A man in gray came from the side The man in gray beat the man in blue, and then threw a bag to the man in blue. The man in gray forced the man in blue to the corner and slapped him The man in gray continues to a...",494,Stealing017_x264,"A bald man in green clothes hugged a woman in purple clothes, and then the bald man kissed the woman in purple clothes The two people walked to the front of the black Audi car. The woman in purple pointed in the direction of the camera. A white car s...",0.5020458698272705
115,Assault020_x264,Assault," Four people were standing together on the road. Suddenly, a man in a white T-shirt suddenly pushed and hit another man in black, and then quickly fled. The man in white ran and shouted in the direction of other people. The beaten man covered his hea...",494,Stealing017_x264,"A bald man in green clothes hugged a woman in purple clothes, and then the bald man kissed the woman in purple clothes The two people walked to the front of the black Audi car. The woman in purple pointed in the direction of the camera. A white car s...",0.5007588267326355
1,Abuse002_x264,Abuse,"At an intersection with smooth traffic, the green light is on, and the vehicles on the opposite side drive out at the same time. There are many white cars and many passers-by on bicycles and electric vehicles. The first car in the middle lane on the ...",294,RoadAccidents068_x264,"People walking on the road A child was knocked down and crushed by a white car. People walked over and picked up the child. After a blue battery car arrived, people came to the child People put children in cars...",0.49800825119018555
118,Assault024_x264,Assault,"There was a group of people on the empty field. Suddenly a man in a gray coat came over and beat a man in white.  Several people came over to help and tried to hold down the man in gray, but failed to stop him. The man in gray still hugged the man in...",494,Stealing017_x264,"A bald man in green clothes hugged a woman in purple clothes, and then the bald man kissed the woman in purple clothes The two people walked to the front of the black Audi car. The woman in purple pointed in the direction of the camera. A white car s...",0.4972241222858429
106,Assault011_x264,Assault,"Three men beat a man with sticks until someone came out to break up the fight. The man with the stick continued to beat the man, and then ran away.  More than 10 men came one after another to check on the injured man....",494,Stealing017_x264,"A bald man in green clothes hugged a woman in purple clothes, and then the bald man kissed the woman in purple clothes The two people walked to the front of the black Audi car. The woman in purple pointed in the direction of the camera. A white car s...",0.49683618545532227
35,Abuse036_x264,Abuse," started to introduce herself, and a woman in a black coat walked over from behind her. Two people wearing blue and white shirts covered an old man with a quilt. Two women lay on the bed to express condolences to the old man. After a while, a woman l...",890,Normal_Videos229_x264,"In a room, a man in blue and a man in black were talking, and a woman in pink was watching. The man in black raised his hand to express, and the man in blue took a step back The man in black raised his hand high, attracting the attention of the man i...",0.4962565302848816
136,Burglary016_x264,Burglary,A red car slowly poured into a field filled with more than a dozen green cars. Two men got out of the car and stopped at the edge of the field. One person squatted down and got in from a certain entrance; The other man turned around and opened the tr...,1051,Normal_Videos406_x264,A warehouse with many long boxes is parked with a small truck moving goods. A small car carrying goods drives from one side to the other...,0.49624839425086975
